t (s),x (m),y (m),z (m),vx (m/s),vy (m/s),vz (m/s),v (m/s),Mach
5.437770058183786,9.026075080255785,759.014560837107,140.18271425025483,2.714558216137601,107.88309986069109,-4.994458852220608,108.03275744461571,0.3179507178428703
5.447770058183786,9.05323391368659,760.0929977553448,140.13229720083947,2.7172077483594075,107.80430394205811,-5.088940242444437,107.95854981969035,0.3177321367735885
5.457770058183786,9.08041922079982,761.170647318431,140.08093566092788,2.7198529536349,107.72562876832362,-5.183356976071223,107.88454886201941,0.317514160806717
5.467770058183786,9.107630958356344,762.2475107319552,140.0286302763491,2.722493838026667,107.64707396783413,-5.277709200360788,107.81075419891107,0.31729678885363377
5.477770058183785,9.13486908317877,763.3235891977591,139.97538169146503,2.7251304079863985,107.56863915749955,-5.37199706125041,107.73716544611223,0.31708001979164324
5.487770058183785,9.162133552150438,764.3988839139748,139.92119054917603,2.727762668710468,107.49032399396302,-5.466220705849821,107.6637822589798,0.31686385261457833
5.497770058183785,9.189424322210224,765.4733960751928,139.86605749092044,2.730390626607696,107.4121280968003,-5.560380278704786,107.59060425567425,0.31664828620675217
5.507770058183785,9.216741350359557,766.5471268722504,139.80998315669243,2.733014287475972,107.33405110526144,-5.654475924579151,107.51763107390371,0.3164333195099613
5.5177700581837845,9.244084593658332,767.6200774923657,139.7529681850429,2.735633657624734,107.2560926433216,-5.748507786693179,107.44486233596834,0.3162189514206085
5.527770058183784,9.271454009228835,768.6922491190217,139.69501321309306,2.7382487428083873,107.1782523528888,-5.8424760084385605,107.37229768197281,0.3160051808874502
5.537770058183784,9.298849554250987,769.7636429321205,139.63611887653389,2.740859548937735,107.10052987164664,-5.936380732239545,107.29993674766348,0.3157920068463694
5.547770058183784,9.326271185963709,770.8342601079482,139.57628580963552,2.74346608190212,107.02292483858822,-6.030222099841438,107.22777916996168,0.31557942823666063
5.557770058183784,9.353718861666428,771.9041018191334,139.51551464525704,2.746068347814994,106.94543688635778,-6.124000251888768,107.15582457930105,0.3153674439784789
5.5677700581837835,9.381192538714437,772.9731692347984,139.4538060148455,2.748666352031505,106.8680656718665,-6.217715329627839,107.0840726302537,0.31515605306297445
5.577770058183783,9.408692174521446,774.0414635204864,139.3911605484474,2.7512601004472375,106.79081083581231,-6.311367472675843,107.01252296103345,0.31494525443310817
5.587770058183783,9.436217726560587,775.1089858381362,139.32757887471766,2.7538495994620353,106.71367200378582,-6.4049568190138375,106.94117519459692,0.3147350469868923
5.597770058183783,9.46376915236316,776.1757373461269,139.26306162092425,2.7564348541938224,106.63664884197564,-6.498483508240722,106.87002899437765,0.31452542974142045
5.607770058183783,9.49134640951737,777.2417191993245,139.1976094129531,2.759015870698409,106.55974098793442,-6.591947677552468,106.79908399501386,0.314316401628994
5.617770058183782,9.518949455668675,778.3069325490765,139.13122287531564,2.7615926546175054,106.48294809274223,-6.685349464206778,106.72833984453354,0.31410796162127663
5.627770058183782,9.54657824852014,779.3713785432071,139.0639026311563,2.764165211545992,106.40626980955015,-6.778689004867745,106.65779619289074,0.3139001086955556
5.637770058183782,9.574232745830754,780.4350583260758,138.99564930225645,2.7667335431270526,106.32970576398291,-6.871966434141209,106.58745266224261,0.31369284174726575
5.647770058183782,9.60191290431929,781.4979730349658,138.92646350916917,2.769297363443602,106.25325468690724,-6.965181855465963,106.51730797259037,0.3134861570167045
5.6577700581837815,9.629618677277877,782.5601237926126,138.8563458714874,2.7718564369696734,106.1769154577775,-7.058335375218274,106.44736099361157,0.3132800511846406
5.667770058183781,9.657350017233105,783.6215117157856,138.78529700756155,2.7744107628679164,106.10068772654463,-7.1514271258230515,106.37761137129755,0.3130745232165357
5.677770058183781,9.685106876708259,784.6821379176016,138.71331753443127,2.776960340813827,106.02457112841317,-7.244457238014714,106.308058736729,0.3128695720339257
5.687770058183781,9.71288920822217,785.7420035075737,138.64040806782984,2.779505170569144,105.94856529714612,-7.337425841667561,106.23870271938954,0.3126651965536027
5.697770058183781,9.740696964289814,786.8011095916048,138.56656922219196,2.782045251467345,105.8726698811655,-7.430333066895699,106.16954296328333,0.3124613957350505
